,cust_id,LIMIT_BAL,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,EDUCATION,MARRIAGE,LIMIT_BAL_na,BILL_AMT1_na,BILL_AMT2_na,BILL_AMT3_na,BILL_AMT4_na,BILL_AMT5_na,BILL_AMT6_na,PAY_AMT1_na,PAY_AMT2_na,PAY_AMT3_na,PAY_AMT4_na,PAY_AMT5_na,PAY_AMT6_na,PAY_MEAN,AGE_GROUP_20,AGE_GROUP_30,AGE_GROUP_40,AGE_GROUP_50,AGE_GROUP_60,AGE_GROUP_70,default.payment.next.month
0,18895,70000.0,53972.0,23149.0,23968.0,25559.0,26134.0,26715.0,1700.0,1500.0,2000.0,1000.0,1000.0,2000.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
1,25102,390000.0,185111.0,172865.0,153795.0,140387.0,128112.0,115514.0,5000.0,3000.0,5000.0,4548.0,4100.0,3300.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,0,0,0,0,0,0
2,28867,60000.0,21387.0,22416.0,23444.0,26038.0,28607.0,27997.0,1378.0,1406.0,3000.0,3000.0,0.0,923.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,1,0,0,0,0,0,1
3,1842,140000.0,108038.0,110216.0,84516.0,72391.0,61298.0,62193.0,4200.0,2822.0,2336.0,2588.0,2250.0,2491.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0
4,3371,50000.0,7881.0,10415.0,3997.0,1047.0,0.0,0.0,3000.0,0.0,1000.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8333333333333335,1,0,0,0,0,0,1
5,29925,20000.0,20009.0,20602.0,21255.0,19105.0,19609.0,19283.0,1700.0,1600.0,1200.0,1000.0,900.0,1000.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
6,29940,50000.0,51041.121725965175,50525.0,51463.0,49952.0,19584.0,19080.0,1762.0,4800.0,0.0,837.0,700.0,1000.0,0.0,3.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,0,0,1,0,0,0,0
7,11638,250000.0,5724.0,6729.0,4973.0,9693.0,799.0,4295.0,2000.0,2305.0,4720.0,0.0,4305.0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1,0,0,0,0,0
8,4761,320000.0,29862.0,33785.0,4900.0,15813.0,0.0,0.0,5000.0,4905.0,15873.0,0.0,0.0,21657.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,0,0,0,0,1
9,6746,300000.0,91282.0,45885.0,35329.0,29368.0,18833.0,93329.0,3260.0,2240.0,1505.0,1250.0,80934.0,2700.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
